name,author,description,average_rating,number_of_reviews,top_of,rated_5,rated_4,rated_3,rated_2,rated_1,top_voted_genre,top_voted_votes,2nd_voted_genre,2nd_voted_votes,3rd_voted_genre,3rd_voted_votes
Writers & Lovers,Lily King,"Following the breakout success of her critically acclaimed and award-winning novel Euphoria, Lily King returns with an unforgettable portrait of an artist as a young woman.Blindsided by her mother's sudden death, and wrecked by a recent love affair, Casey Peabody has arrived in Massachusetts in the summer of 1997 without a plan. Her mail consists of wedding invitations and final notices from debt collectors. A former child golf prodigy, she now waits tables in Harvard Square and rents a tiny, moldy room at the side of a garage where she works on the novel she's been writing for six years. At thirty-one, Casey is still clutching onto something nearly all her old friends have let go of: the determination to live a creative life. When she falls for two very different men at the same time, her world fractures even more. Casey's fight to fulfill her creative ambitions and balance the conflicting demands of art and life is challenged in ways that push her to the brink.Writers & Lovers follows Casey--a smart and achingly vulnerable protagonist--in the last days of a long youth, a time when every element of her life comes to a crisis. Written with King's trademark humor, heart, and intelligence, Writers & Lovers is a transfixing novel that explores the terrifying and exhilarating leap between the end of one phase of life and the beginning of another.",4.08,66855,best-fiction-books-2020,23681,28119,12199,2240,616,Fiction,1372,Contemporary,357,Literary Fiction,269
If I Had Your Face,Frances Cha,"A debut novel set in contemporary Seoul, Korea, about four young women making their way in a world defined by impossibly high standards of beauty, secret room salons catering to wealthy men, strict social hierarchies, and K-pop fan mania. ""Even as a girl, I knew the only chance I had was to change my face... even before a fortune-teller told me so."" Kyuri is a beautiful woman with a hard-won job at a ""room salon,"" an exclusive bar where she entertains businessmen while they drink. Though she prides herself on her cold, clear-eyed approach to life, an impulsive mistake with a client may come to threaten her livelihood.Her roomate, Miho, is a talented artist who grew up in an orphanage but won a scholarship to study art in New York. Returning to Korea after college, she finds herself in a precarious relationship with the super-wealthy heir to one of Korea's biggest companies.Down the hall in their apartment building lives Ara, a hair stylist for whom two preoccupations sustain her: obsession with a boy-band pop star, and a best friend who is saving up for the extreme plastic surgery that is commonplace.And Wonna, one floor below, is a newlywed trying to get pregnant with a child that she and her husband have no idea how they can afford to raise and educate in the cutthroat economy.Together, their stories tell a tale that's seemingly unfamiliar, yet unmistakably universal in the way that their tentative friendships may have to be their saving grace.",3.75,20037,best-fiction-books-2020,3702,9025,6082,1024,204,Fiction,808,Contemporary,465,Adult,141
A Burning,Megha Majumdar,"For readers of Tommy Orange, Yaa Gyasi, and Jhumpa Lahiri, an electrifying debut novel about three unforgettable characters who seek to rise—to the middle class, to political power, to fame in the movies—and find their lives entangled in the wake of a catastrophe in contemporary India.Jivan is a Muslim girl from the slums, determined to move up in life, who is accused of executing a terrorist attack on a train because of a careless comment on Facebook. PT Sir is an opportunistic gym teacher who hitches his aspirations to a right-wing political party, and finds that his own ascent becomes linked to Jivan's fall. Lovely--an irresistible outcast whose exuberant voice and dreams of glory fill the novel with warmth and hope and humor--has the alibi that can set Jivan free, but it will cost her everything she holds dear.Taut, symphonic, propulsive, and riveting from its opening lines, A Burning has the force of an epic while being so masterfully compressed it can be read in a single sitting. Majumdar writes with dazzling assurance at a breakneck pace on complex themes that read here as the components of a thriller: class, fate, corruption, justice, and what it feels like to face profound obstacles and yet nurture big dreams in a country spinning toward extremism. An extraordinary debut.",3.75,32632,best-fiction-books-2020,6385,14553,9364,1884,446,Fiction,1028,Contemporary,261,Cultural,253
Luster,Raven Leilani,"No one wants what no one wants.And how do we even know what we want? How do we know we’re ready to take it?Edie is stumbling her way through her twenties—sharing a subpar apartment in Bushwick, clocking in and out of her admin job, making a series of inappropriate sexual choices. She is also haltingly, fitfully giving heat and air to the art that simmers inside her. And then she meets Eric, a digital archivist with a family in New Jersey, including an autopsist wife who has agreed to an open marriage—with rules.As if navigating the constantly shifting landscapes of contemporary sexual manners and racial politics weren’t hard enough, Edie finds herself unemployed and invited into Eric’s home—though not by Eric. She becomes a hesitant ally to his wife and a de facto role model to his adopted daughter. Edie may be the only Black woman young Akila knows.Irresistibly unruly and strikingly beautiful, razor-sharp and slyly comic, sexually charged and utterly absorbing, Raven Leilani’s Luster is a portrait of a young woman trying to make sense of her life—her hunger, her anger—in a tumultuous era. It is also a haunting, aching description of how hard it is to believe in your own talent, and the unexpected influences that bring us into ourselves along the way.",3.62,43668,best-fiction-books-2020,8848,16286,12712,4520,1302,Fiction,1120,Contemporary,355,Literary Fiction,219
In an Instant,Suzanne Redfearn,"Life is over in an instant for sixteen-year-old Finn Miller when a devastating car accident tumbles her and ten others over the side of a mountain. Suspended between worlds, she watches helplessly as those she loves struggle to survive.Impossible choices are made, decisions that leave the survivors tormented with grief and regret. Unable to let go, Finn keeps vigil as they struggle to reclaim their shattered lives. Jack, her father, who seeks vengeance against the one person he can blame other than himself; her best friend, Mo, who bravely searches for the truth as the story of their survival is rewritten; her sister Chloe, who knows Finn lingers and yearns to join her; and her mother, Ann, who saved them all but is haunted by her decisions. Finn needs to move on, but how can she with her family still in pieces?Heartrending yet ultimately redemptive, In an Instant is a story about the power of love, the meaning of family, and carrying on…even when it seems impossible.",4.35,65750,best-fiction-books-2020,34582,22600,6429,1452,687,Fiction,441,Contemporary,164,Young Adult,91
Oona Out of Order,Margarita Montimore,"A remarkably inventive novel that explores what it means to live a life fully in the moment, even if those moments are out of order.It’s New Year’s Eve 1982, and Oona Lockhart has her whole life before her. At the stroke of midnight she will turn nineteen, and the year ahead promises to be one of consequence. Should she go to London to study economics, or remain at home in Brooklyn to pursue her passion for music and be with her boyfriend? As the countdown to the New Year begins, Oona faints and awakens thirty-two years in the future in her fifty-one-year-old body. Greeted by a friendly stranger in a beautiful house she’s told is her own, Oona learns that with each passing year she will leap to another age at random. And so begins Oona Out of Order...Hopping through decades, pop culture fads, and much-needed stock tips, Oona is still a young woman on the inside but ever changing on the outside. Who will she be next year? Philanthropist? Club Kid? World traveler? Wife to a man she’s never met? Surprising, magical, and heart-wrenching, Margarita Montimore has crafted an unforgettable story about the burdens of time, the endurance of love, and the power of family.",3.86,44277,best-fiction-books-2020,11497,18922,10822,2439,597,Fiction,830,Science Fiction,342,Contemporary,232
The Death of Vivek Oji,Akwaeke Emezi,"What does it mean for a family to lose a child they never really knew?One afternoon, in a town in southeastern Nigeria, a mother opens her front door to discover her son’s body, wrapped in colorful fabric, at her feet. What follows is the tumultuous, heart-wrenching story of one family’s struggle to understand a child whose spirit is both gentle and mysterious. Raised by a distant father and an understanding but overprotective mother, Vivek suffers disorienting blackouts, moments of disconnection between self and surroundings. As adolescence gives way to adulthood, Vivek finds solace in friendships with the warm, boisterous daughters of the Nigerwives, foreign-born women married to Nigerian men. But Vivek’s closest bond is with Osita, the worldly, high-spirited cousin whose teasing confidence masks a guarded private life. As their relationship deepens—and Osita struggles to understand Vivek’s escalating crisis—the mystery gives way to a heart-stopping act of violence in a moment of exhilarating freedom. Propulsively readable, teeming with unforgettable characters, The Death of Vivek Oji is a novel of family and friendship that challenges expectations—a dramatic story of loss and transcendence that will move every reader.",4.15,26064,best-fiction-books-2020,10129,10948,4046,746,195,Fiction,971,Contemporary,408,LGBT,343
Homeland Elegies,Ayad Akhtar,"A deeply personal work about hope and identity in a nation coming apart at the seams, Homeland Elegies  blends fact and fiction to tell an epic story of belonging and dispossession in the world that 9/11 made. Part family drama, part social essay, part picaresque adventure -- at its heart, it is the story of a father, a son, and the country they both call home.Akhtar forges a new narrative voice to capture a country in which debt has ruined countless lives and our ideals have been sacrificed to the gods of finance, where a TV personality is president and immigrants live in fear, and where the nation's unhealed wounds of 9/11 wreak havoc around the world. Akhtar attempts to make sense of it all through the lens of a story about one family, from a heartland town in America to palatial suites in Central Europe to guerilla lookouts in the mountains of Afghanistan, and spares no one -- least of all himself -- in the process.",4.22,12827,best-fiction-books-2020,5581,5049,1695,387,115,Fiction,604,Historical,103,Contemporary,71
Real Life,Brandon  Taylor,"Almost everything about Wallace is at odds with the Midwestern university town where he is working uneasily toward a biochem degree. An introverted young man from Alabama, black and queer, he has left behind his family without escaping the long shadows of his childhood. For reasons of self-preservation, Wallace has enforced a wary distance even within his own circle of friends—some dating each other, some dating women, some feigning straightness. But over the course of a late-summer weekend, a series of confrontations with colleagues, and an unexpected encounter with an ostensibly straight, white classmate, conspire to fracture his defenses while exposing long-hidden currents of hostility and desire within their community.",3.87,18632,best-fiction-books-2020,5346,7431,4282,1266,307,Fiction,897,LGBT,343,Contemporary,306
Migrations,Charlotte McConaghy,"Franny Stone has always been the kind of woman who is able to love but unable to stay. Leaving behind everything but her research gear, she arrives in Greenland with a singular purpose: to follow the last Arctic terns in the world on what might be their final migration to Antarctica. Franny talks her way onto a fishing boat, and she and the crew set sail, traveling ever further from shore and safety. But as Franny’s history begins to unspool—a passionate love affair, an absent family, a devastating crime—it becomes clear that she is chasing more than just the birds. When Franny's dark secrets catch up with her, how much is she willing to risk for one more chance at redemption?Epic and intimate, heartbreaking and galvanizing, Charlotte McConaghy's Migrations is an ode to a disappearing world and a breathtaking page-turner about the possibility of hope against all odds.",4.19,21428,best-fiction-books-2020,9517,7811,3080,795,225,Fiction,695,Science Fiction,158,Literary Fiction,124
The Guest List,Lucy Foley,"It's the wedding of the year. But someone won't survive it.On a remote island off the coast of Ireland, guests gather to celebrate the wedding of Jules Keegan and Will Slater. Will is a rising television star, handsome and charming. Jules is a smart, ambitious magazine publisher. Though the sea is a little choppy and the cell service spotty, their wedding is everything you'd expect of a young power couple: designer dress, four-tiered cake, boutique whiskey, vintage champagne. Every detail has been curated to perfection. All that's left to orchestrate is the happiness.But perfection is for plans, and people are all too human. It's not long after the cake is cut and the champagne popped that resentments and petty jealousies come out. Worse yet, the latest barometer reading shows the weather has shifted from FAIR to CHANGEABLE, and dark clouds are looming overhead.Everyone on the island has a secret. Everyone has a motive. And someone won't leave this wedding alive...",3.86,343979,best-mystery-thriller-books-2020,82326,154971,86485,16117,4080,Mystery,3323,Thriller,2196,Fiction,2075
Home Before Dark,Riley Sager,"What was it like? Living in that house.Maggie Holt is used to such questions. Twenty-five years ago, she and her parents, Ewan and Jess, moved into Baneberry Hall, a rambling Victorian estate in the Vermont woods. They spent three weeks there before fleeing in the dead of night, an ordeal Ewan later recounted in a nonfiction book called House of Horrors. His tale of ghostly happenings and encounters with malevolent spirits became a worldwide phenomenon, rivaling The Amityville Horror in popularity—and skepticism.Today, Maggie is a restorer of old homes and too young to remember any of the events mentioned in her father’s book. But she also doesn’t believe a word of it. Ghosts, after all, don’t exist. When Maggie inherits Baneberry Hall after her father’s death, she returns to renovate the place to prepare it for sale. But her homecoming is anything but warm. People from the past, chronicled in House of Horrors, lurk in the shadows. And locals aren’t thrilled that their small town has been made infamous thanks to Maggie’s father. Even more unnerving is Baneberry Hall itself—a place filled with relics from another era that hint at a history of dark deeds. As Maggie experiences strange occurrences straight out of her father’s book, she starts to believe that what he wrote was more fact than fiction.In the latest thriller from New York Times bestseller Riley Sager, a woman returns to the house made famous by her father’s bestselling horror memoir. Is the place really haunted by evil forces, as her father claimed? Or are there more earthbound—and dangerous—secrets hidden within its walls?",4.1,74263,best-mystery-thriller-books-2020,26818,31888,12235,2567,755,Horror,1572,Thriller,1209,Mystery,1006
The Sun Down Motel,Simone St. James,"The secrets lurking in a rundown roadside motel ensnare a young woman, just as they did her aunt thirty-five years before, in this new atmospheric suspense novel from the national bestselling and award-winning author of The Broken Girls.Upstate NY, 1982. Every small town like Fell, New York, has a place like the Sun Down Motel. Some customers are from out of town, passing through on their way to someplace better. Some are locals, trying to hide their secrets. Viv Delaney works as the night clerk to pay for her move to New York City. But something isn't right at the Sun Down, and before long she's determined to uncover all of the secrets hidden…",4.03,72526,best-mystery-thriller-books-2020,22896,32993,13456,2532,649,Mystery,1507,Thriller,979,Horror,914
When No One is Watching,Alyssa Cole,"The gentrification of a Brooklyn neighborhood takes on a sinister new meaning…Sydney Green is Brooklyn born and raised, but her beloved neighborhood seems to change every time she blinks. Condos are sprouting like weeds, FOR SALE signs are popping up overnight, and the neighbors she’s known all her life are disappearing. To hold onto her community’s past and present, Sydney channels her frustration into a walking tour and finds an unlikely and unwanted assistant in one of the new arrivals to the block—her neighbor Theo.But Sydney and Theo’s deep dive into history quickly becomes a dizzying descent into paranoia and fear. Their neighbors may not have moved to the suburbs after all, and the push to revitalize the community may be more deadly than advertised.When does coincidence become conspiracy? Where do people go when gentrification pushes them out? Can Sydney and Theo trust each other—or themselves—long enough to find out before they too disappear?",3.58,39592,best-mystery-thriller-books-2020,6885,15140,12629,3783,1155,Thriller,966,Mystery,761,Fiction,692
The Wives,Tarryn Fisher,"Imagine that your husband has two other wives. You’ve never met the other wives. None of you know each other, and because of this unconventional arrangement, you can see your husband only one day a week. But you love him so much you don’t care. Or at least that’s what you’ve told yourself.But one day, while you’re doing laundry, you find a scrap of paper in his pocket—an appointment reminder for a woman named Hannah, and you just know it’s another of the wives.You thought you were fine with your arrangement, but you can’t help yourself: you track her down, and, under false pretenses, you strike up a friendship. Hannah has no idea who you really are. Then, Hannah starts showing up to your coffee dates with telltale bruises, and you realize she’s being abused by her husband. Who, of course, is also your husband. But you’ve never known him to be violent, ever.Who exactly is your husband, and how far would you go to find the truth? Would you risk your own life?And who is his mysterious third wife?",3.63,121425,best-mystery-thriller-books-2020,26431,43609,35478,11890,4017,Thriller,932,Fiction,591,Mystery,580
The Searcher,Tana French,"Retired detective Cal Hooper moves to a remote village in rural Ireland. His plans are to fix up the dilapidated cottage he's bought, to walk the mountains, to put his old police instincts to bed forever.Then a local boy appeals to him for help. His brother is missing, and no one in the village, least of all the police, seems to care. And once again, Cal feels that restless itch.Something is wrong in this community, and he must find out what, even if it brings trouble to his door.",3.81,67920,best-mystery-thriller-books-2020,16990,28553,16702,4094,1581,Mystery,1223,Fiction,730,Thriller,263
The Boy from the Woods,Harlan Coben,"In the shocking new thriller from the #1 New York Times bestselling author of Run Away, a man whose past is shrouded in mystery must find a missing teenage girl before her disappearance brings about disastrous consequences for her community . . . and the world.The man known as Wilde is a mystery to everyone, including himself. Decades ago, he was found as a boy living feral in the woods, with no memory of his past. After the police concluded an exhaustive hunt for the child's family, which was never found, he was turned over to the foster system. Now, thirty years later, Wilde still doesn't know where he comes from, and he's back living in the woods on the outskirts of town, content to be an outcast, comfortable only outdoors, preferably alone, and with few deep connections to other people.When a local girl goes missing, famous TV lawyer Hester Crimstein--with whom Wilde shares a tragic connection--asks him to use his unique skills to help find her. Meanwhile, a group of ex-military security experts arrive in town, and when another teen disappears, the case's impact expands far beyond the borders of the peaceful suburb. Wilde must return to the community where he has never fit in, and where the powerful are protected even when they harbor secrets that could destroy the lives of millions . . . secrets that Wilde must uncover before it's too late.",3.93,54574,best-mystery-thriller-books-2020,16438,22349,12337,2684,766,Mystery,539,Thriller,396,Fiction,328
One by One,Ruth Ware,"Getting snowed in at a beautiful, rustic mountain chalet doesn’t sound like the worst problem in the world, especially when there’s a breathtaking vista, a cozy fire, and company to keep you warm. But what happens when that company is eight of your coworkers…and you can’t trust any of them?When an off-site company retreat meant to promote mindfulness and collaboration goes utterly wrong when an avalanche hits, the corporate food chain becomes irrelevant and survival trumps togetherness. Come Monday morning, how many members short will the team be?The #1 New York Times bestselling author of The Turn of the Key and In a Dark Dark Wood returns with another suspenseful thriller set on a snow-covered mountain.",3.73,81934,best-mystery-thriller-books-2020,15816,35639,24461,4941,1077,Mystery,1200,Thriller,893,Fiction,631
The Devil and the Dark Water,Stuart Turton,"A murder on the high seas. A detective duo. A demon who may or may not exist.It's 1634 and Samuel Pipps, the world's greatest detective, is being transported to Amsterdam to be executed for a crime he may, or may not, have committed. Traveling with him is his loyal bodyguard, Arent Hayes, who is determined to prove his friend innocent.But no sooner are they out to sea than devilry begins to blight the voyage. A twice-dead leper stalks the decks. Strange symbols appear on the sails. Livestock is slaughtered.And then three passengers are marked for death, including Samuel.Could a demon be responsible for their misfortunes?With Pipps imprisoned, only Arent can solve a mystery that connects every passenger onboard. A mystery that stretches back into their past and now threatens to sink the ship, killing everybody on board.The breathtaking new novel from Stuart Turton, author of the The 7 1/2 Deaths of Evelyn Hardcastle, winner of the Costa Best First Novel Award.",3.87,19187,best-mystery-thriller-books-2020,5030,8296,4460,1103,298,Mystery,966,Historical,694,Fiction,427
Long Bright River,Liz    Moore,"Two sisters travel the same streets, though their lives couldn't be more different. Then, one of them goes missing.In a Philadelphia neighborhood rocked by the opioid crisis, two once-inseparable sisters find themselves at odds. One, Kacey, lives on the streets in the vise of addiction. The other, Mickey, walks those same blocks on her police beat. They don't speak anymore, but Mickey never stops worrying about her sibling. Then Kacey disappears, suddenly, at the same time that a mysterious string of murders begins in Mickey's district, and Mickey becomes dangerously obsessed with finding the culprit--and her sister--before it's too late.Alternating its present-day mystery with the story of the sisters' childhood and adolescence, Long Bright River is at once heart-pounding and heart-wrenching: a gripping suspense novel that is also a moving story of sisters, addiction, and the formidable ties that persist between place, family, and fate.",4.06,69578,best-mystery-thriller-books-2020,21774,32830,12655,1892,427,Mystery,943,Fiction,930,Thriller,467
